Temperature,Humidity,Label
22,40,Comfortable
19,68,Comfortable
23,89,Humid
32,32,Hot
24,58,Comfortable
35,36,Hot
32,66,Hot
40,58,Hot
18,43,Comfortable
26,45,Comfortable
30,91,Humid
31,68,Hot
21,58,Comfortable
18,49,Comfortable
30,54,Comfortable
38,68,Hot
34,88,Hot
38,76,Hot
22,62,Comfortable
23,78,Humid
19,57,Comfortable
34,62,Hot
39,34,Hot
32,66,Hot
33,36,Hot
18,59,Comfortable
36,81,Hot
39,72,Hot
23,81,Humid
20,44,Comfortable
30,95,Humid
18,87,Humid
28,80,Humid
22,78,Humid
25,65,Comfortable
39,74,Hot
27,55,Comfortable
37,36,Hot
29,55,Comfortable
37,44,Hot
29,94,Humid
18,55,Comfortable
27,45,Comfortable
34,44,Hot
28,58,Comfortable
25,73,Comfortable
18,62,Comfortable
27,56,Comfortable
40,69,Hot
28,78,Humid
19,62,Comfortable
40,52,Hot
28,70,Comfortable
34,60,Hot
28,36,Comfortable
25,36,Comfortable
21,73,Comfortable
28,67,Comfortable
30,93,Humid
35,85,Hot
24,64,Comfortable
27,33,Comfortable
19,34,Comfortable
25,58,Comfortable
31,82,Hot
39,70,Hot
31,31,Hot
25,31,Comfortable
37,63,Hot
30,51,Comfortable
33,93,Hot
39,91,Hot
18,59,Comfortable
21,57,Comfortable
37,34,Hot
28,59,Comfortable
34,50,Hot
38,74,Hot
35,68,Hot
38,58,Hot
21,73,Comfortable
35,30,Hot
31,66,Hot
37,44,Hot
36,64,Hot
21,45,Comfortable
28,67,Comfortable
25,88,Humid
39,76,Hot
33,74,Hot
22,61,Comfortable
23,42,Comfortable
24,62,Comfortable
40,41,Hot
20,76,Humid
22,52,Comfortable
30,32,Comfortable
25,66,Comfortable
28,70,Comfortable
25,91,Humid
26,78,Humid
21,68,Comfortable
20,89,Humid
38,40,Hot
37,60,Hot
24,56,Comfortable
39,63,Hot
20,59,Comfortable
30,41,Comfortable
31,33,Hot
31,75,Hot
19,45,Comfortable
37,42,Hot
25,46,Comfortable
25,73,Comfortable
31,69,Hot
34,82,Hot
26,58,Comfortable
39,64,Hot
36,91,Hot
25,31,Comfortable
28,63,Comfortable
29,59,Comfortable
25,39,Comfortable
18,89,Humid
21,84,Humid
21,53,Comfortable
21,64,Comfortable
40,51,Hot
24,42,Comfortable
36,46,Hot
19,47,Comfortable
26,58,Comfortable
34,42,Hot
24,77,Humid
30,81,Humid
24,69,Comfortable
40,65,Hot
40,38,Hot
38,61,Hot
18,35,Comfortable
35,37,Hot
22,83,Humid
24,45,Comfortable
25,51,Comfortable
29,87,Humid
33,93,Hot
20,54,Comfortable
25,63,Comfortable
34,72,Hot
35,43,Hot
32,85,Hot
35,31,Hot
27,46,Comfortable
30,39,Comfortable
25,72,Comfortable
28,78,Humid
24,67,Comfortable
26,66,Comfortable
32,74,Hot
28,34,Comfortable
19,61,Comfortable
22,46,Comfortable
35,94,Hot
36,70,Hot
18,57,Comfortable
29,42,Comfortable
39,38,Hot
34,89,Hot
21,87,Humid
31,51,Hot
36,50,Hot
19,60,Comfortable
34,37,Hot
24,37,Comfortable
23,60,Comfortable
36,79,Hot
33,74,Hot
22,55,Comfortable
28,75,Comfortable
22,53,Comfortable
20,36,Comfortable
32,55,Hot
30,86,Humid
31,75,Hot
38,53,Hot
26,63,Comfortable
29,85,Humid
19,92,Humid
27,63,Comfortable
26,31,Comfortable
27,63,Comfortable
34,91,Hot
